Section,Item_Name,Count_Type,Corporate_Order
Back of Store/Cleaning supplies,Glass Cleaner,Single,1
Back of Store/Cleaning supplies,Blue Loop Mopheads,Single,2
Back of Store/Cleaning supplies,Individually Wrapped Bath Tissue,Single,3
Back of Store/Cleaning supplies,Antimicrobial Food Service Towels,Single,4
Back of Store/Cleaning supplies,Neutral All-Purpose Cleaner,Single,5
Back of Store/Cleaning supplies,Hand Sanitizer,Single,6
Back of Store/Cleaning supplies,Foaming Antibacterial Hand Soap,Single,7
Back of Store/Cleaning supplies,Trash Bags,Single,8
Back of Store/Cleaning supplies,Sponges (Fried Dishes),Single,9
Back of Store/Cleaning supplies,Scuff Pads,Single,10
Soda back of store,2Ltr Pepsi (Each),Single,11
Soda back of store,2Ltr Starry (Each),Single,12
Soda back of store,2Ltr Mountain Dew (Each),Single,13
Soda back of store,20oz Starry (Each),Single,14
Soda back of store,20oz Mountain Dew (Each),Single,15
Soda back of store,20oz Pepsi (Each),Single,16
Soda back of store,20oz Aquafina (Each),Single,17
Back of store/Dry goods,Multifold Paper Towels,Single,18
Back of store/Dry goods,Paper Cups,Single,19
Back of store/Dry goods,Kitchen Towel Roll,Single,20
Back of store/Dry goods,Buffalo Sauce (Pouch),Single,21
Back of store/Dry goods,Pouch Honey Chptl (Pouch),Single,22
Back of store/Dry goods,Garlic Parm Truffle Sc (Pouch),Single,23
Back of store/Dry goods,BBQ Bulk (Bag),Single,24
Back of store/Dry goods,Black Olives (Pouch),Single,25
Back of store/Dry goods,IT Seasoning (Bag),Single,26
Back of store/Dry goods,Banana Peppers (Bag),Single,27
Back of store/Dry goods,Jalapeno Peppers (Bag),Single,28
Back of store/Dry goods,Pepperoncini Peppers (Bag),Single,29
Back of store/Dry goods,PINEAPPLE - POUCH (Pouch),Single,30
Back of store/Dry goods,PIZZA SAUCE(POUCH) (Pouch),Single,31
Back of store/Dry goods,Barbecue Sauce Cup,Single,32
Back of store/Dry goods,Buffalo Sauce Cup,Single,33
Back of store/Dry goods,Tray - Garlic Breadstick (Each),Single,34
Back of store/Dry goods,Garlic Knot Tray (Each),Prep,35
Back of store/Dry goods,LINER - SINGLE FACE (Each),Single,36
Back of store/Dry goods,Linear Poly Gusset Bags,Single,37
Back of store/Dry goods,Bleached GVP Bag,Single,38
Back of store/Dry goods,10in Baking Sheet (Case),Single,39
Back of store/Dry goods,14in Baking Sheet (Case),Single,40
Back of store/Dry goods,Pop Up Foil (Case),Single,41
Back of store/Dry goods,Paper Plates,Single,42
Back of store/Dry goods,Food Service Gloves,Single,43
Back of store/Dry goods,SOUFFLE CUP - HINGED LID,Single,44
Back of store/Dry goods,Medium Weight Plastic fork,Single,45
Back of store/Dry goods,CHICKEN BOX (Each),Single,46
Back of store/Dry goods,Logo Napkins (Sleeve),Single,47
Storage by office desk,Pizza Box 10 (Each),Single,48
Storage by office desk,Pizza Box 8 (Each),Single,49
Storage by office desk,Quality Seal Stickers (Roll),Single,50
Storage by office desk,Sandwich Box (Each),Single,51
Storage by office desk,Pizza Box 16 In (Each),Single,52
Customer Service Counter,Thermal Receipt Paper (50 Rolls),Single,53
Customer Service Counter,CRP Packets (Case),Single,54
Customer Service Counter,Parmesan Packet (Case),Single,55
Customer Service Counter,Season Pkt (Case),Single,56
Customer Service Counter,Pizza Box 14 (Each),Single,57
Customer Service Counter,Pizza Box 12 (Each),Single,58
Customer Service Counter,Corrugated Pizza Sleeve (Case),Single,59
Customer Service Counter,Blaster Labels (Roll),Single,60
Customer Service Counter,DoorDash Fax,Single,61
Customer Service Counter,32 Oz Dual Ovenable Tray (Case),Single,62
Customer Service Counter,Pepperoncini Peppers (Bag) - Cut Table,Single,63
Customer Service Counter,Garlic Sauce Cups (Case) - Cut Table,Single,64
Customer Service Counter,Barbecue Sauce Cups - Cut Table,Single,65
Customer Service Counter,Buffalo Sauce Cups - Cut Table,Single,66
Customer Service Counter,Pouch Honey Chptl (Pouch) - Cut Table,Single,67
Makeline Section (Top),STRING CHEESE 20 LB (Bag),Prep,68
Makeline Section (Top),Philly Cheesesteak (Bag),Prep,69
Makeline Section (Top),Italian Sausage (Bag),Prep,70
Makeline Section (Top),Beef (Bag),Prep,71
Makeline Section (Top),Sausage (Bag),Prep,72
Makeline Section (Top),Bacon (Bag),Prep,73
Makeline Section (Top),Canadian Bacon (Bag),Prep,74
Makeline Section (Top),Mushrooms-fresh (Pail),Prep,75
Makeline Section (Top),Green Peppers - Sliced (Bag),Prep,76
Makeline Section (Top),Onions - Sliced (Bag),Prep,77
Makeline Section (Top),Tomatoes - Diced Roma (Tray),Prep,78
Makeline Section (Top),Grilled Chicken (Bag),Prep,79
Makeline Section (Top),PINEAPPLE - POUCH (Pouch),Prep,80
Makeline Section (Top),Black Olives (Pouch),Prep,81
Makeline Section (Top),Pepperoni (Bag),Prep,82
Makeline Section (Top),20lb PIZZA CHEESE (Each),Prep,83
Makeline Section (Top),Three Cheese Blend (Bag),Prep,84
Makeline Section (Top),Two Cheese P/R (Bag),Prep,85
Makeline Section (Top),Jalapeno Peppers (Bag),Prep,86
Makeline Section (Top),Banana Peppers (Bag),Prep,87
Makeline Section (Bottom),20lb PIZZA CHEESE (Each) - Underneath,Prep,88
Makeline Section (Bottom),Pepperoni (Bag) - Underneath,Prep,89
Makeline Section (Bottom),Pizza Sauce Cups,Single,90
Makeline Section (Bottom),Ranch Sauce Cups (Case),Single,91
Makeline Section (Bottom),Spicy Garlic Dipping Cup (Case),Single,92
Makeline Section (Bottom),Cheese Cups (Case),Single,93
Makeline Section (Bottom),Blue Cheese Sauce Cups (Case),Single,94
Makeline Section (Bottom),WINGS - BONELESS (Bag),Prep,95
Makeline Section (Bottom),WING - ROASTED 20 LB (Bag),Prep,96
Makeline Section (Bottom),Alfredo Sauce (Pouch),Prep,97
Makeline Section (Bottom),Bulk Ranch Sauce (Pouch),Prep,98
Makeline Section (Bottom),Fresh Spinach (Bag),Prep,99
Makeline Section (Bottom),Crust - Parbaked Pan Pizza (Bag),Single,100
Makeline Section (Bottom),7" Sandwich Roll (Bag),Single,101
Makeline Section (Bottom),Sliced American Cheese (Bag),Prep,102
Makeline Section (Bottom),Sauce - Pizza Ranch (Bag),Prep,103
